hidden nodes each layer,hidden layers,RMSE
1,1,0.036266
1,2,0.031219
1,3,0.033505
1,4,0.036823
2,1,0.034239
2,2,0.033766
2,3,0.02876
2,4,0.030113
3,1,0.028258
3,2,0.023228
3,3,0.021648
3,4,0.027058
4,1,0.025792
4,2,0.025315
4,3,0.019379
4,4,0.017414
5,1,0.022924
5,2,0.020709
5,3,0.018027
5,4,0.016057
6,1,0.027228
6,2,0.019469
6,3,0.018898
6,4,0.019461
7,1,0.025181
7,2,0.018451
7,3,0.01744
7,4,0.018962
8,1,0.030418
8,2,0.018576
8,3,0.020036
8,4,0.01688
9,1,0.021325
9,2,0.022189
9,3,0.022563
9,4,0.016476
10,1,0.027746
10,2,0.021989
10,3,0.016789
10,4,0.016535
11,1,0.039671
11,2,0.018571
11,3,0.019801
11,4,0.020439
12,1,0.02479
12,2,0.025726
12,3,0.021588
12,4,0.02145
13,1,0.019686
13,2,0.018843
13,3,0.02283
13,4,0.019159
14,1,0.034446
14,2,0.040494
14,3,0.018692
14,4,0.020866
15,1,0.030002
15,2,0.028983
15,3,0.02584
15,4,0.02041